
#Vehículo

"Nombre del vehículo","Activo","Tipo de vehículo","Marca","Modelo","Matrícula","Año","Capacidad del deposito(gal)","Odómetro (km)","Registro de vehículos","Identificación (VIN)","Notas",
"Fiat 5493KKX Reserva","Si","Camión","Fiat","Ducato","5493KKX","2018","","Kilómetro (km)","","","",

#Servicio

"Nombre del vehículo","Odómetro (km)","Fecha","Costo total","Tipo de servicio","Local del servicio","Conductor","Método de pago","Notas","(System Date)"
"Fiat 5493KKX Reserva","284635","23/09/2023 17:39","21.4","Correa de accesorios","Tomas","Victor Pavon","","","24/09/2023 17:05"
"Fiat 5493KKX Reserva","284635","23/09/2023 17:39","10.92","Filtro de Aceite","Tomas","Victor Pavon","","","24/09/2023 17:05"
"Fiat 5493KKX Reserva","284635","23/09/2023 17:39","11.68","Filtro de Aire","Tomas","Victor Pavon","","","24/09/2023 17:05"
"Fiat 5493KKX Reserva","284635","23/09/2023 17:39","8.69","Filtro de Aire del habitáculo","Tomas","Victor Pavon","","","24/09/2023 17:05"
"Fiat 5493KKX Reserva","284635","23/09/2023 17:39","25.98","Filtro de Combustible","Tomas","Victor Pavon","","","24/09/2023 17:05"
"Fiat 5493KKX Reserva","284635","23/09/2023 17:39","120","Mano de Obra","Tomas","Victor Pavon","","","24/09/2023 17:05"
"Fiat 5493KKX Reserva","261308","05/07/2023 19:51","107.8","Tubo Intercooler","David Gomez","Victor Pavon","","","24/09/2023 17:56"
"Fiat 5493KKX Reserva","261308","05/07/2023 19:51","55","Mano de Obra","David Gomez","Victor Pavon","","","24/09/2023 17:56"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","220","Neumaticos Delanteros","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","96.62","Soporte Motor","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","118","Enfriador filtro aceite","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","574","Palieres","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","24","Cambio aceite caja cambios","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","194","Ventilador calefaccion","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","16","Anticongelante","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","252365","04/05/2023 19:43","278","Mano de Obra","David Gomez","Victor Pavon","","","24/09/2023 17:50"
"Fiat 5493KKX Reserva","80389","09/01/2021 08:33","0","Cambio Distribución Y Bomba De Agua","Palcan","Victor Pavon","","","22/09/2023 07:04"
